item_id	releasedate	action	adventure	animation	children	comedy	crime	Documentary	Drama	Fantasy	film_noir	horror	musical	mystery	romance	sci_fi	thriller	war	western
1	788889600.0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2	788889600.0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
3	788889600.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
4	788889600.0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
5	788889600.0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0
6	788889600.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
7	788889600.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
8	788889600.0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
9	788889600.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
10	822240000.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
11	788889600.0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
12	808329600.0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
13	814982400.0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
14	757353600.0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
15	822844800.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
16	788889600.0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
17	823449600.0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0
18	788889600.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
19	788889600.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
20	788889600.0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
21	824400000.0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0
22	824400000.0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
23	824400000.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
24	825004800.0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
25	826214400.0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
26	788889600.0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
27	788889600.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	788889600.0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
29	788889600.0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
30	-94723200.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
31	788889600.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0
32	757353600.0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
33	788889600.0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
34	788889600.0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
35	788889600.0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
36	788889600.0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
37	757353600.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
38	788889600.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
39	788889600.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
40	788889600.0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
41	788889600.0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
